district_name,,available_electric_bikes,available_mechanical_bikes,available_bikes,available_docks,status
Alfortville,count,1260.0,1260.0,1260.0,1260.0,1260.0
Alfortville,mean,5.286507936507936,9.352380952380953,14.63888888888889,8.312698412698413,1.0
Alfortville,std,4.29599538618907,4.754792979772592,5.0303838098479146,5.889962438431109,0.0
Alfortville,min,0.0,0.0,1.0,0.0,1.0
Alfortville,25%,2.0,6.0,11.0,3.0,1.0
Alfortville,50%,4.0,9.0,15.0,7.0,1.0
Alfortville,75%,8.0,13.0,18.0,13.0,1.0
Alfortville,max,17.0,21.0,26.0,26.0,1.0
Arcueil,count,1008.0,1008.0,1008.0,1008.0,1008.0
Arcueil,mean,3.857142857142857,4.488095238095238,8.345238095238095,20.29563492063492,1.0
Arcueil,std,3.452533656732757,4.739264997218464,5.908425400045416,11.704313907501518,0.0
Arcueil,min,0.0,0.0,0.0,0.0,1.0
Arcueil,25%,1.0,1.0,3.0,11.0,1.0
Arcueil,50%,3.0,3.0,7.0,19.0,1.0
Arcueil,75%,6.0,6.0,13.0,26.5,1.0
Arcueil,max,14.0,19.0,23.0,43.0,1.0
Argenteuil,count,1260.0,1260.0,1260.0,1260.0,1260.0
Argenteuil,mean,7.03015873015873,6.143650793650794,13.173809523809524,16.753968253968253,1.0
Argenteuil,std,3.693892300036432,3.061845862297966,5.1765444997729935,8.404097593506611,0.0
Argenteuil,min,0.0,0.0,1.0,1.0,1.0
Argenteuil,25%,4.0,4.0,11.0,10.0,1.0
Argenteuil,50%,7.0,6.0,13.0,15.0,1.0
Argenteuil,75%,10.0,8.0,17.0,26.0,1.0
Argenteuil,max,15.0,12.0,25.0,34.0,1.0
Asnières-sur-Seine,count,3276.0,3276.0,3276.0,3276.0,3276.0
Asnières-sur-Seine,mean,3.515873015873016,5.441086691086691,8.956959706959706,12.397130647130647,0.8461538461538461
Asnières-sur-Seine,std,3.489402696242133,5.13273076527673,6.959137687186226,8.772829898958253,0.36085629224440324
Asnières-sur-Seine,min,0.0,0.0,0.0,0.0,0.0
Asnières-sur-Seine,25%,1.0,1.0,3.0,5.0,1.0
Asnières-sur-Seine,50%,3.0,4.0,8.0,11.0,1.0
Asnières-sur-Seine,75%,6.0,8.0,14.0,19.0,1.0
Asnières-sur-Seine,max,22.0,25.0,30.0,32.0,1.0
Aubervilliers,count,3277.0,3277.0,3277.0,3277.0,3277.0
Aubervilliers,mean,6.831553249923711,4.290814769606348,11.122368019530057,19.205981080256333,1.0
Aubervilliers,std,6.611839969020228,4.038121666666336,9.279606127043717,9.479461165909113,0.0
Aubervilliers,min,0.0,0.0,0.0,0.0,1.0
Aubervilliers,25%,3.0,1.0,5.0,13.0,1.0
Aubervilliers,50%,5.0,3.0,8.0,19.0,1.0
Aubervilliers,75%,9.0,7.0,14.0,25.0,1.0
Aubervilliers,max,42.0,27.0,55.0,45.0,1.0
Bagneux,count,1512.0,1512.0,1512.0,1512.0,1512.0
Bagneux,mean,2.5297619047619047,1.5244708994708995,4.054232804232805,17.55621693121693,0.8333333333333334
Bagneux,std,2.5584705363357787,2.568594959118761,3.9374286131209417,9.657579554919236,0.3728012974927927
Bagneux,min,0.0,0.0,0.0,0.0,0.0
Bagneux,25%,0.0,0.0,1.0,12.0,1.0
Bagneux,50%,2.0,0.0,3.0,21.0,1.0
Bagneux,75%,4.0,2.0,6.0,25.0,1.0
Bagneux,max,14.0,13.0,21.0,31.0,1.0
Bagnolet,count,2016.0,2016.0,2016.0,2016.0,2016.0
Bagnolet,mean,2.3308531746031744,0.5347222222222222,2.8655753968253967,25.978174603174605,1.0
Bagnolet,std,2.8638519698962708,1.0207692920611928,3.251918382664837,13.319122611408636,0.0
Bagnolet,min,0.0,0.0,0.0,1.0,1.0
Bagnolet,25%,0.0,0.0,0.0,16.0,1.0
Bagnolet,50%,1.0,0.0,2.0,23.0,1.0
Bagnolet,75%,3.0,1.0,4.0,29.0,1.0
Bagnolet,max,15.0,8.0,18.0,49.0,1.0
Bobigny,count,1261.0,1261.0,1261.0,1261.0,1261.0
Bobigny,mean,6.988104678826328,5.762886597938144,12.750991276764474,10.469468675654243,0.7993655828707376
Bobigny,std,5.574518384078616,5.705059234336528,10.274634016612012,9.364830973483443,0.4006339148192649
Bobigny,min,0.0,0.0,0.0,0.0,0.0
Bobigny,25%,2.0,0.0,3.0,1.0,1.0
Bobigny,50%,7.0,4.0,12.0,8.0,1.0
Bobigny,75%,12.0,10.0,22.0,19.0,1.0
Bobigny,max,21.0,17.0,30.0,30.0,1.0
Bois-Colombes,count,504.0,504.0,504.0,504.0,504.0
Bois-Colombes,mean,3.7916666666666665,11.59920634920635,15.390873015873016,13.682539682539682,1.0
Bois-Colombes,std,3.197639847828625,7.3046513793905845,7.631940574333964,8.040801314776434,0.0
Bois-Colombes,min,0.0,0.0,1.0,0.0,1.0
Bois-Colombes,25%,1.0,4.0,8.75,8.0,1.0
Bois-Colombes,50%,3.0,14.0,17.0,12.0,1.0
Bois-Colombes,75%,6.0,18.0,21.0,21.0,1.0
Bois-Colombes,max,11.0,22.0,29.0,29.0,1.0
Boulogne-Billancourt,count,7309.0,7309.0,7309.0,7309.0,7309.0
Boulogne-Billancourt,mean,4.217129566288138,11.338213161855247,15.555342728143385,13.309344643590094,1.0
Boulogne-Billancourt,std,4.59841027268036,8.454925216009016,10.6491213450848,9.56151097006988,0.0
Boulogne-Billancourt,min,0.0,0.0,0.0,0.0,1.0
Boulogne-Billancourt,25%,1.0,5.0,8.0,6.0,1.0
Boulogne-Billancourt,50%,3.0,10.0,14.0,12.0,1.0
Boulogne-Billancourt,75%,6.0,15.0,20.0,19.0,1.0
Boulogne-Billancourt,max,37.0,46.0,77.0,54.0,1.0
Bourg-la-Reine,count,756.0,756.0,756.0,756.0,756.0
Bourg-la-Reine,mean,3.6746031746031744,9.600529100529101,13.275132275132275,4.117724867724868,0.6666666666666666
Bourg-la-Reine,std,4.658105856831386,7.294864363187141,10.18483306126278,4.183936877756362,0.4717166059101489
Bourg-la-Reine,min,0.0,0.0,0.0,0.0,0.0
Bourg-la-Reine,25%,0.0,0.0,0.0,0.0,0.0
Bourg-la-Reine,50%,2.0,12.0,17.0,3.0,1.0
Bourg-la-Reine,75%,6.0,16.0,22.0,7.0,1.0
Bourg-la-Reine,max,18.0,21.0,29.0,15.0,1.0
Cachan,count,1008.0,1008.0,1008.0,1008.0,1008.0
Cachan,mean,2.941468253968254,6.888888888888889,9.830357142857142,10.58531746031746,1.0
Cachan,std,2.2423978660479795,5.609393769944441,6.063385077761434,6.077181726283392,0.0
Cachan,min,0.0,0.0,0.0,0.0,1.0
Cachan,25%,1.0,2.0,5.0,5.0,1.0
Cachan,50%,3.0,6.0,9.0,10.0,1.0
Cachan,75%,4.0,12.0,15.0,16.0,1.0
Cachan,max,12.0,18.0,22.0,22.0,1.0
Champigny-sur-Marne,count,1260.0,1260.0,1260.0,1260.0,1260.0
Champigny-sur-Marne,mean,7.423809523809524,8.227777777777778,15.651587301587302,13.061111111111112,1.0
Champigny-sur-Marne,std,5.802527845667815,7.06239230359396,7.419145682434449,11.569395360634829,0.0
Champigny-sur-Marne,min,0.0,0.0,2.0,0.0,1.0
Champigny-sur-Marne,25%,3.0,1.0,11.0,4.0,1.0
Champigny-sur-Marne,50%,5.0,7.0,18.0,8.0,1.0
Champigny-sur-Marne,75%,11.0,14.0,21.0,19.25,1.0
Champigny-sur-Marne,max,21.0,23.0,28.0,34.0,1.0
Charenton-le-Pont,count,1260.0,1260.0,1260.0,1260.0,1260.0
Charenton-le-Pont,mean,4.627777777777778,13.244444444444444,17.872222222222224,10.33968253968254,1.0
Charenton-le-Pont,std,3.9581235051613817,7.599941009297788,7.914075283415174,8.330190261685644,0.0
Charenton-le-Pont,min,0.0,1.0,1.0,0.0,1.0
Charenton-le-Pont,25%,1.0,8.0,12.0,4.0,1.0
Charenton-le-Pont,50%,3.0,12.0,17.0,8.0,1.0
Charenton-le-Pont,75%,7.0,19.0,25.0,16.0,1.0
Charenton-le-Pont,max,18.0,30.0,33.0,34.0,1.0
Chaville,count,756.0,756.0,756.0,756.0,756.0
Chaville,mean,2.0264550264550265,0.9986772486772487,3.0251322751322753,17.193121693121693,1.0
Chaville,std,2.29928606813947,1.2464512152978364,2.7332930159346134,3.6316862032960535,0.0
Chaville,min,0.0,0.0,0.0,5.0,1.0
Chaville,25%,0.0,0.0,1.0,15.75,1.0
Chaville,50%,1.0,1.0,2.0,17.0,1.0
Chaville,75%,3.0,2.0,4.0,19.0,1.0
Chaville,max,9.0,6.0,13.0,24.0,1.0
Choisy-le-Roi,count,756.0,756.0,756.0,756.0,756.0
Choisy-le-Roi,mean,7.621693121693122,10.562169312169312,18.183862433862434,7.804232804232805,1.0
Choisy-le-Roi,std,3.8002795701975973,5.324699169729367,6.5973547901722025,6.352662940098319,0.0
Choisy-le-Roi,min,0.0,0.0,1.0,0.0,1.0
Choisy-le-Roi,25%,5.0,8.0,15.0,3.0,1.0
Choisy-le-Roi,50%,7.0,10.0,18.0,6.0,1.0
Choisy-le-Roi,75%,11.0,12.0,22.0,11.0,1.0
Choisy-le-Roi,max,16.0,22.0,33.0,23.0,1.0
Châtillon,count,1260.0,1260.0,1260.0,1260.0,1260.0
Châtillon,mean,2.399206349206349,1.8198412698412698,4.219047619047619,25.046825396825398,1.0
Châtillon,std,3.306695161076044,3.021251702405528,5.003854182291418,6.901683170146686,0.0
Châtillon,min,0.0,0.0,0.0,9.0,1.0
Châtillon,25%,0.0,0.0,1.0,21.0,1.0
Châtillon,50%,1.0,1.0,3.0,23.0,1.0
Châtillon,75%,4.0,2.0,6.0,27.0,1.0
Châtillon,max,18.0,22.0,33.0,45.0,1.0
Clamart,count,756.0,756.0,756.0,756.0,756.0
Clamart,mean,2.861111111111111,0.6097883597883598,3.4708994708994707,20.14021164021164,1.0
Clamart,std,2.6560979861709324,1.1287263912956818,3.279953114743201,8.03231367673765,0.0
Clamart,min,0.0,0.0,0.0,0.0,1.0
Clamart,25%,1.0,0.0,1.0,12.0,1.0
Clamart,50%,3.0,0.0,3.0,24.0,1.0
Clamart,75%,4.0,1.0,5.0,26.0,1.0
Clamart,max,14.0,5.0,16.0,31.0,1.0
Clichy,count,3276.0,3276.0,3276.0,3276.0,3276.0
Clichy,mean,3.0213675213675213,7.094932844932845,10.116300366300367,21.199328449328448,1.0
Clichy,std,3.3689423113572623,6.546544473621724,8.32725112604182,11.047915606282412,0.0
Clichy,min,0.0,0.0,0.0,0.0,1.0
Clichy,25%,1.0,3.0,4.0,13.0,1.0
Clichy,50%,2.0,5.0,8.0,19.0,1.0
Clichy,75%,4.0,10.0,14.0,28.0,1.0
Clichy,max,22.0,43.0,55.0,52.0,1.0
Colombes,count,1260.0,1260.0,1260.0,1260.0,1260.0
Colombes,mean,4.873015873015873,4.788095238095238,9.661111111111111,13.134920634920634,1.0
Colombes,std,3.939341754008017,5.2363079466632465,7.477171741729441,7.368172301162719,0.0
Colombes,min,0.0,0.0,0.0,0.0,1.0
Colombes,25%,2.0,1.0,4.0,7.0,1.0
Colombes,50%,4.0,2.0,7.0,13.0,1.0
Colombes,75%,7.0,8.0,14.0,17.0,1.0
Colombes,max,17.0,20.0,29.0,28.0,1.0
Courbevoie,count,1764.0,1764.0,1764.0,1764.0,1764.0
Courbevoie,mean,3.2823129251700682,2.554988662131519,5.837301587301587,25.121315192743765,1.0
Courbevoie,std,3.2169968488667253,2.676303664471919,4.5244846938078105,7.654331519403589,0.0
Courbevoie,min,0.0,0.0,0.0,7.0,1.0
Courbevoie,25%,1.0,0.0,2.0,20.0,1.0
Courbevoie,50%,3.0,2.0,5.0,27.0,1.0
Courbevoie,75%,5.0,4.0,8.0,31.0,1.0
Courbevoie,max,20.0,12.0,23.0,40.0,1.0
Fontenay-aux-Roses,count,1008.0,1008.0,1008.0,1008.0,1008.0
Fontenay-aux-Roses,mean,2.3462301587301586,1.4107142857142858,3.7569444444444446,26.23611111111111,1.0
Fontenay-aux-Roses,std,2.1153821834666844,2.4250358131067533,3.1347511441482427,6.584701775573656,0.0
Fontenay-aux-Roses,min,0.0,0.0,0.0,12.0,1.0
Fontenay-aux-Roses,25%,1.0,0.0,1.0,20.0,1.0
Fontenay-aux-Roses,50%,2.0,1.0,3.0,28.0,1.0
Fontenay-aux-Roses,75%,3.0,2.0,5.0,32.0,1.0
Fontenay-aux-Roses,max,10.0,11.0,14.0,35.0,1.0
Fontenay-sous-Bois,count,2772.0,2772.0,2772.0,2772.0,2772.0
Fontenay-sous-Bois,mean,4.8979076479076475,2.674963924963925,7.5728715728715725,21.42207792207792,1.0
Fontenay-sous-Bois,std,4.5043828796047585,3.677947512620448,6.524148848979278,12.950230478438048,0.0
Fontenay-sous-Bois,min,0.0,0.0,0.0,1.0,1.0
Fontenay-sous-Bois,25%,1.0,0.0,2.0,12.0,1.0
Fontenay-sous-Bois,50%,4.0,1.0,6.0,18.0,1.0
Fontenay-sous-Bois,75%,7.0,4.0,11.0,28.0,1.0
Fontenay-sous-Bois,max,23.0,22.0,34.0,57.0,1.0
Gennevilliers,count,1260.0,1260.0,1260.0,1260.0,1260.0
Gennevilliers,mean,5.298412698412698,10.941269841269841,16.23968253968254,11.263492063492064,1.0
Gennevilliers,std,4.752642074902559,4.682590232483371,7.105559239025297,7.652838801875975,0.0
Gennevilliers,min,0.0,1.0,2.0,0.0,1.0
Gennevilliers,25%,2.0,8.0,11.0,5.0,1.0
Gennevilliers,50%,4.0,11.0,15.0,10.0,1.0
Gennevilliers,75%,7.0,14.0,20.0,15.0,1.0
Gennevilliers,max,23.0,22.0,40.0,38.0,1.0
Gentilly,count,1008.0,1008.0,1008.0,1008.0,1008.0
Gentilly,mean,3.3988095238095237,8.137896825396826,11.53670634920635,17.27281746031746,1.0
Gentilly,std,2.74570687216129,7.830746338868595,8.785123397726771,9.45737183493612,0.0
Gentilly,min,0.0,0.0,0.0,0.0,1.0
Gentilly,25%,1.0,1.0,3.0,8.0,1.0
Gentilly,50%,3.0,4.0,9.5,19.0,1.0
Gentilly,75%,5.0,15.0,20.0,27.0,1.0
Gentilly,max,18.0,25.0,28.0,31.0,1.0
Issy-les-Moulineaux,count,5544.0,5544.0,5544.0,5544.0,5544.0
Issy-les-Moulineaux,mean,3.180916305916306,12.319805194805195,15.5007215007215,11.275252525252526,0.8636363636363636
Issy-les-Moulineaux,std,3.9663827506092826,12.923441183388277,14.716479826367582,10.117655011284953,0.34320524676235964
Issy-les-Moulineaux,min,0.0,0.0,0.0,0.0,0.0
Issy-les-Moulineaux,25%,0.0,0.0,2.0,2.0,1.0
Issy-les-Moulineaux,50%,2.0,10.0,12.0,10.0,1.0
Issy-les-Moulineaux,75%,4.0,20.0,24.0,19.0,1.0
Issy-les-Moulineaux,max,26.0,54.0,62.0,56.0,1.0
Ivry-sur-Seine,count,4537.0,4537.0,4537.0,4537.0,4537.0
Ivry-sur-Seine,mean,3.649548159576813,12.542649327749615,16.19219748732643,14.59642935860701,0.9444566894423628
Ivry-sur-Seine,std,3.7879991732723926,12.601842595695107,13.330856282731107,10.026200928605034,0.2290629085647243
Ivry-sur-Seine,min,0.0,0.0,0.0,0.0,0.0
Ivry-sur-Seine,25%,1.0,1.0,4.0,5.0,1.0
Ivry-sur-Seine,50%,3.0,8.0,14.0,15.0,1.0
Ivry-sur-Seine,75%,5.0,22.0,27.0,22.0,1.0
Ivry-sur-Seine,max,27.0,46.0,50.0,40.0,1.0
Joinville-le-Pont,count,504.0,504.0,504.0,504.0,504.0
Joinville-le-Pont,mean,9.898809523809524,16.738095238095237,26.636904761904763,14.115079365079366,1.0
Joinville-le-Pont,std,7.499216564213008,8.580739050162013,11.363202581377513,11.475561845748432,0.0
Joinville-le-Pont,min,0.0,2.0,4.0,0.0,1.0
Joinville-le-Pont,25%,5.0,8.0,16.0,4.0,1.0
Joinville-le-Pont,50%,8.0,16.0,30.0,9.0,1.0
Joinville-le-Pont,75%,11.0,25.0,37.0,25.0,1.0
Joinville-le-Pont,max,32.0,33.0,44.0,39.0,1.0
La Garenne-Colombes,count,1764.0,1764.0,1764.0,1764.0,1764.0
La Garenne-Colombes,mean,3.393424036281179,2.311224489795918,5.704648526077097,14.715419501133788,1.0
La Garenne-Colombes,std,3.1603904673802443,2.59609831544811,4.5904980830055075,4.921570968657136,0.0
La Garenne-Colombes,min,0.0,0.0,0.0,0.0,1.0
La Garenne-Colombes,25%,1.0,1.0,2.0,12.0,1.0
La Garenne-Colombes,50%,2.0,2.0,5.0,16.0,1.0
La Garenne-Colombes,75%,5.0,3.0,8.0,18.0,1.0
La Garenne-Colombes,max,15.0,16.0,22.0,25.0,1.0
Le Kremlin-Bicêtre,count,1260.0,1260.0,1260.0,1260.0,1260.0
Le Kremlin-Bicêtre,mean,2.925396825396825,1.2595238095238095,4.184920634920635,25.08888888888889,1.0
Le Kremlin-Bicêtre,std,2.7958023825622913,1.8630932699130565,3.389690660470406,8.473761982272318,0.0
Le Kremlin-Bicêtre,min,0.0,0.0,0.0,3.0,1.0
Le Kremlin-Bicêtre,25%,1.0,0.0,2.0,20.0,1.0
Le Kremlin-Bicêtre,50%,2.0,1.0,3.0,23.0,1.0
Le Kremlin-Bicêtre,75%,4.0,2.0,6.0,29.0,1.0
Le Kremlin-Bicêtre,max,16.0,15.0,17.0,45.0,1.0
Le Pré-Saint-Gervais,count,756.0,756.0,756.0,756.0,756.0
Le Pré-Saint-Gervais,mean,3.388888888888889,0.876984126984127,4.265873015873016,18.46825396825397,1.0
Le Pré-Saint-Gervais,std,2.9182383025186573,1.2615346083083232,3.7620551526968797,4.7610781370195365,0.0
Le Pré-Saint-Gervais,min,0.0,0.0,0.0,5.0,1.0
Le Pré-Saint-Gervais,25%,1.0,0.0,1.0,15.0,1.0
Le Pré-Saint-Gervais,50%,3.0,0.0,3.0,18.0,1.0
Le Pré-Saint-Gervais,75%,5.0,1.0,6.0,22.0,1.0
Le Pré-Saint-Gervais,max,13.0,7.0,18.0,28.0,1.0
Les Lilas,count,878.0,878.0,878.0,878.0,878.0
Les Lilas,mean,2.4043280182232345,0.12300683371298406,2.5273348519362187,31.51138952164009,0.8610478359908884
Les Lilas,std,3.357026626217652,0.40621632316725415,3.4546820086026364,15.029556062028114,0.34609375149556526
Les Lilas,min,0.0,0.0,0.0,0.0,0.0
Les Lilas,25%,0.0,0.0,0.0,27.0,1.0
Les Lilas,50%,1.0,0.0,1.0,34.0,1.0
Les Lilas,75%,3.0,0.0,4.0,43.75,1.0
Les Lilas,max,19.0,5.0,20.0,50.0,1.0
Levallois-Perret,count,2772.0,2772.0,2772.0,2772.0,2772.0
Levallois-Perret,mean,4.020923520923521,5.049062049062049,9.06998556998557,22.427849927849927,1.0
Levallois-Perret,std,4.404927625068932,5.998957191988682,9.093650903541194,11.014549774877716,0.0
Levallois-Perret,min,0.0,0.0,0.0,0.0,1.0
Levallois-Perret,25%,1.0,1.0,3.0,16.0,1.0
Levallois-Perret,50%,3.0,3.0,6.0,21.0,1.0
Levallois-Perret,75%,5.0,7.0,12.0,27.0,1.0
