district_name,,available_electric_bikes,available_mechanical_bikes,available_bikes,available_docks,status,last_update
Alfortville,count,1535.0,1535.0,1535.0,1535.0,1535.0,1535
Alfortville,mean,4.300325732899023,10.820195439739413,15.120521172638437,8.448208469055375,1.0,2023-05-31 14:28:24.913355008
Alfortville,min,0.0,0.0,0.0,0.0,1.0,2023-05-28 10:50:33
Alfortville,25%,2.0,6.0,12.0,3.0,1.0,2023-05-29 13:20:33
Alfortville,50%,4.0,12.0,16.0,6.0,1.0,2023-05-31 09:12:49
Alfortville,75%,6.0,15.0,19.0,12.0,1.0,2023-06-02 21:08:18
Alfortville,max,12.0,21.0,25.0,24.0,1.0,2023-06-03 21:35:37
Alfortville,std,2.4807669353327784,5.307148382262188,5.892822827434172,6.308126449637946,0.0,
Arcueil,count,1228.0,1228.0,1228.0,1228.0,1228.0,1228
Arcueil,mean,3.4087947882736156,5.861563517915309,9.270358306188925,19.2614006514658,1.0,2023-05-31 14:28:25.013029376
Arcueil,min,0.0,0.0,0.0,0.0,1.0,2023-05-28 10:50:33
Arcueil,25%,1.0,2.0,4.0,9.0,1.0,2023-05-29 13:20:33
Arcueil,50%,3.0,5.0,9.0,17.0,1.0,2023-05-31 09:12:49
Arcueil,75%,4.0,9.0,15.0,26.5,1.0,2023-06-02 21:08:18
Arcueil,max,17.0,17.0,25.0,43.0,1.0,2023-06-03 21:35:37
Arcueil,std,2.7726668299431267,4.973971845861971,6.373989591362292,12.72494711372788,0.0,
Argenteuil,count,1535.0,1535.0,1535.0,1535.0,1535.0,1535
Argenteuil,mean,5.180456026058632,6.348534201954397,11.52899022801303,19.783061889250813,1.0,2023-05-31 14:28:25.100325632
Argenteuil,min,0.0,0.0,1.0,1.0,1.0,2023-05-28 10:50:33
Argenteuil,25%,3.0,4.0,9.0,12.0,1.0,2023-05-29 13:20:33
Argenteuil,50%,5.0,4.0,12.0,16.0,1.0,2023-05-31 09:12:49
Argenteuil,75%,7.0,7.0,14.0,30.0,1.0,2023-06-02 21:08:19
