,,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_bikes,available_bikes,available_bikes,available_bikes,available_bikes,available_bikes,available_bikes,available_bikes,available_docks,available_docks,available_docks,available_docks,available_docks,available_docks,available_docks,available_docks,status,status,status,status,status,status,status,status
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
station_id,name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10001,René Boulanger - Lancry,252.0,3.1507936507936507,2.055281643605372,0.0,2.0,3.0,4.0,10.0,252.0,10.206349206349206,6.396983178805435,0.0,5.0,9.0,15.0,24.0,252.0,13.357142857142858,6.8680962128578456,2.0,7.0,12.0,19.0,28.0,252.0,47.77777777777778,6.855234878635246,34.0,42.0,49.0,54.0,59.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10003,Hauteville - Bonne Nouvelle,252.0,3.5992063492063493,2.5093608345329317,0.0,2.0,3.0,5.0,12.0,252.0,2.253968253968254,2.546574945133053,0.0,0.0,1.0,3.0,12.0,252.0,5.853174603174603,4.036470915473563,1.0,2.0,5.0,8.0,15.0,252.0,9.658730158730158,4.144141351887683,1.0,7.0,11.0,13.0,16.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10004,Metz - Faubourg Saint-Denis,252.0,4.944444444444445,3.320359879586701,0.0,2.0,4.0,7.0,13.0,252.0,10.055555555555555,9.096039640432949,0.0,4.0,7.0,13.25,38.0,252.0,15.0,11.068781698400805,1.0,7.0,11.0,21.0,44.0,252.0,30.845238095238095,11.3963306259477,2.0,25.75,34.0,39.0,47.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10005,Petites Ecuries - Faubourg Poissonnière,252.0,2.492063492063492,2.3027647742473505,0.0,1.0,2.0,4.0,9.0,252.0,4.841269841269841,3.214540417264382,1.0,2.0,4.0,7.0,14.0,252.0,7.333333333333333,4.249208972553631,1.0,4.0,6.0,11.0,16.0,252.0,9.293650793650794,4.320003431305743,1.0,6.0,10.0,13.0,16.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10006,Petites Ecuries - Faubourg Saint-Denis,252.0,4.51984126984127,3.255948153929798,0.0,2.0,4.0,6.0,17.0,252.0,8.94047619047619,5.483807072771893,0.0,4.0,9.0,13.0,21.0,252.0,13.46031746031746,6.992484062545505,1.0,8.0,13.0,18.0,27.0,252.0,14.123015873015873,7.064073999179405,1.0,9.0,15.0,19.0,27.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10008,Cité Riverin - Château d'Eau,252.0,2.9087301587301586,2.2940254930475743,0.0,1.0,3.0,4.0,10.0,252.0,6.234126984126984,3.974613919428148,0.0,3.0,6.0,9.0,17.0,252.0,9.142857142857142,4.881405136536054,1.0,5.0,9.0,14.0,18.0,252.0,7.896825396825397,5.087018655956125,0.0,3.0,8.0,12.0,17.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10009,Mairie du 10ème,252.0,2.8174603174603177,2.166020801829214,0.0,1.0,2.0,4.0,10.0,252.0,5.757936507936508,2.752929715749583,1.0,3.0,5.5,8.0,11.0,252.0,8.575396825396826,3.392966394976537,1.0,6.0,9.0,11.0,16.0,252.0,8.476190476190476,3.254697581349824,1.0,6.0,8.0,11.0,15.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1001,Quai de l'Horloge - Pont Neuf,252.0,5.2896825396825395,2.3967550894028338,1.0,3.0,5.0,7.0,11.0,252.0,7.888888888888889,2.887594629545021,2.0,6.0,8.0,10.0,15.0,252.0,13.178571428571429,2.8557374175622106,3.0,11.75,13.5,15.0,17.0,252.0,3.015873015873016,2.863380909139184,0.0,1.0,2.0,4.0,14.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
