,,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_bikes,available_bikes,available_bikes,available_bikes,available_bikes,available_bikes,available_bikes,available_bikes,available_docks,available_docks,available_docks,available_docks,available_docks,available_docks,available_docks,available_docks,status,status,status,status,status,status,status,status,last_update,last_update,last_update,last_update,last_update,last_update,last_update,last_update
,,count,mean,min,25%,50%,75%,max,std,count,mean,min,25%,50%,75%,max,std,count,mean,min,25%,50%,75%,max,std,count,mean,min,25%,50%,75%,max,std,count,mean,min,25%,50%,75%,max,std,count,mean,min,25%,50%,75%,max,std
station_id,name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10001,René Boulanger - Lancry,307.0,4.169381107491857,0.0,3.0,4.0,5.0,12.0,2.2832096591742257,307.0,3.42671009771987,0.0,1.0,3.0,6.0,9.0,2.619123348570743,307.0,7.596091205211726,0.0,4.0,7.0,11.0,19.0,4.376077013818439,307.0,52.51465798045603,40.0,50.0,52.0,57.0,60.0,4.690654050540931,307.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,307,2023-05-31 14:28:25.371335168,2023-05-28 10:50:33,2023-05-29 13:25:34,2023-05-31 09:12:49,2023-06-02 21:03:17.500000,2023-06-03 21:35:37,
10003,Hauteville - Bonne Nouvelle,307.0,2.6026058631921822,1.0,1.0,2.0,3.0,13.0,2.121719240071834,307.0,4.843648208469055,0.0,2.0,4.0,7.0,14.0,3.7278737714990355,307.0,7.4462540716612375,1.0,4.0,8.0,11.0,16.0,3.9473094966108273,307.0,9.035830618892508,1.0,6.0,9.0,13.0,16.0,3.988793887517709,307.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,307,2023-05-31 14:28:25.289902336,2023-05-28 10:50:33,2023-05-29 13:25:34,2023-05-31 09:12:49,2023-06-02 21:03:17.500000,2023-06-03 21:35:37,
10004,Metz - Faubourg Saint-Denis,307.0,6.214983713355049,1.0,3.0,5.0,7.0,21.0,4.970439110452341,307.0,6.762214983713355,0.0,4.0,6.0,10.0,23.0,4.428680181465963,307.0,12.977198697068404,1.0,8.0,11.0,17.0,32.0,7.621958386359571,307.0,33.88925081433225,15.0,31.0,36.0,39.0,47.0,7.6025095890281955,307.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,307,2023-05-31 14:28:24.957654784,2023-05-28 10:50:33,2023-05-29 13:25:34,2023-05-31 09:12:49,2023-06-02 21:03:17.500000,2023-06-03 21:35:37,
10005,Petites Ecuries - Faubourg Poissonnière,307.0,2.3192182410423454,0.0,0.0,1.0,4.0,8.0,2.390556456386137,307.0,4.6612377850162865,0.0,2.0,4.0,7.0,13.0,3.366874741017979,307.0,6.980456026058632,1.0,2.0,6.0,12.0,16.0,4.949378628774371,307.0,8.960912052117264,1.0,4.0,9.0,13.0,16.0,4.784073162921696,307.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,307,2023-05-31 14:28:24.739413760,2023-05-28 10:50:33,2023-05-29 13:25:34,2023-05-31 09:12:49,2023-06-02 21:03:17.500000,2023-06-03 21:35:37,
10006,Petites Ecuries - Faubourg Saint-Denis,307.0,3.211726384364821,0.0,2.0,2.0,5.0,15.0,2.42888243553988,307.0,6.657980456026059,0.0,2.0,4.0,9.0,21.0,6.409523130295008,307.0,9.86970684039088,1.0,3.0,7.0,14.0,28.0,7.816270167128391,307.0,17.859934853420196,1.0,13.0,20.0,24.0,28.0,7.561723616215395,307.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,307,2023-05-31 14:28:25.127035648,2023-05-28 10:50:33,2023-05-29 13:25:34,2023-05-31 09:12:49,2023-06-02 21:03:17.500000,2023-06-03 21:35:37,
10008,Cité Riverin - Château d'Eau,307.0,2.758957654723127,0.0,1.0,2.0,5.0,9.0,2.064453959718111,307.0,3.7068403908794787,0.0,2.0,3.0,4.0,13.0,2.6294061279218144,307.0,6.465798045602606,0.0,4.0,6.0,9.0,15.0,3.067002794600564,307.0,10.762214983713354,2.0,9.0,11.0,13.0,18.0,3.202144753993234,307.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,307,2023-05-31 14:28:25.078175744,2023-05-28 10:50:33,2023-05-29 13:25:34,2023-05-31 09:12:49,2023-06-02 21:03:17.500000,2023-06-03 21:35:37,
10009,Mairie du 10ème,307.0,3.1335504885993486,0.0,1.0,3.0,4.0,8.0,2.250290053902149,307.0,2.765472312703583,0.0,1.0,2.0,5.0,9.0,2.1398139972573222,307.0,5.899022801302932,0.0,3.0,5.0,8.5,15.0,3.694134950010647,307.0,11.364820846905538,1.0,9.0,12.0,15.0,18.0,4.137008196052373,307.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,307,2023-05-31 14:28:25.143322624,2023-05-28 10:50:33,2023-05-29 13:25:34,2023-05-31 09:12:49,2023-06-02 21:03:17.500000,2023-06-03 21:35:37,
1001,Quai de l'Horloge - Pont Neuf,307.0,4.719869706840391,0.0,3.0,5.0,6.0,11.0,2.282291013554125,307.0,8.006514657980455,1.0,5.0,8.0,11.0,17.0,3.6541618186674034,307.0,12.726384364820847,3.0,11.0,13.0,16.0,17.0,3.2383609015835573,307.0,4.042345276872964,0.0,1.0,4.0,5.5,14.0,3.1448939378609073,307.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,307,2023-05-31 14:28:24.583061760,2023-05-28 10:50:33,2023-05-29 13:25:34,2023-05-31 09:12:48,2023-06-02 21:03:16.500000,2023-06-03 21:35:37,
10010,Place Jacques Bonsergent,307.0,3.2899022801302933,0.0,2.0,3.0,4.0,19.0,2.6661756270132977,307.0,5.41042345276873,0.0,2.0,5.0,9.0,17.0,3.9250688537115215,307.0,8.700325732899023,1.0,5.0,8.0,11.0,26.0,4.890443517928417,307.0,21.97068403908795,4.0,19.0,22.0,26.0,31.0,5.300985281567759,307.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,307,2023-05-31 14:28:24.807817472,2023-05-28 10:50:33,2023-05-29 13:25:34,2023-05-31 09:12:49,2023-06-02 21:03:17.500000,2023-06-03 21:35:37,
10011,Bourse du Travail,307.0,2.980456026058632,0.0,1.0,2.0,4.0,11.0,2.3220193038753525,307.0,5.192182410423452,0.0,3.0,6.0,7.0,12.0,2.8581160883457546,307.0,8.172638436482085,0.0,5.0,8.0,10.0,15.0,3.708253540831987,307.0,7.241042345276873,0.0,5.0,7.0,10.0,17.0,3.993525342551329,307.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,307,2023-05-31 14:28:25.127035904,2023-05-28 10:50:33,2023-05-29 13:25:34,2023-05-31 09:12:49,2023-06-02 21:03:17.500000,2023-06-03 21:35:37,
10012,Vinaigriers - Magenta,307.0,1.729641693811075,0.0,0.0,1.0,3.0,7.0,1.5619665213060046,307.0,2.8762214983713354,0.0,1.0,2.0,5.0,8.0,1.9005472353812716,307.0,4.605863192182411,0.0,2.0,4.0,7.0,13.0,2.9044193542159205,307.0,19.39739413680782,11.0,17.0,20.0,21.0,25.0,2.8568904866384446,307.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,307,2023-05-31 14:28:24.970683904,2023-05-28 10:50:33,2023-05-29 13:25:34,2023-05-31 09:12:49,2023-06-02 21:03:17.500000,2023-06-03 21:35:37,
10013,Alibert - Jemmapes,307.0,3.9381107491856677,1.0,2.0,3.0,5.0,24.0,3.4734398878289516,307.0,7.078175895765472,0.0,2.0,4.0,10.0,33.0,7.40078687268946,307.0,11.01628664495114,1.0,4.0,9.0,15.0,39.0,9.316321780907382,307.0,45.5472312703583,17.0,40.5,49.0,52.0,57.0,9.50852131528357,307.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,307,2023-05-31 14:28:24.524430080,2023-05-28 10:50:33,2023-05-29 13:25:34,2023-05-31 09:12:48,2023-06-02 21:03:16.500000,2023-06-03 21:35:37,
10014,Marseille - Beaurepaire,307.0,3.3452768729641695,0.0,2.0,3.0,4.0,12.0,2.273318276261014,307.0,6.8957654723127035,0.0,4.0,6.0,9.0,25.0,4.539825403021029,307.0,10.241042345276872,1.0,7.0,9.0,12.0,34.0,5.236923605000005,307.0,43.732899022801305,20.0,42.0,44.0,47.0,53.0,5.034553066036508,307.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,307,2023-05-31 14:28:24.654723328,2023-05-28 10:50:33,2023-05-29 13:25:34,2023-05-31 09:12:48,2023-06-02 21:03:16.500000,2023-06-03 21:35:37,
10015,Lucien Sampaix - Récollets,307.0,4.570032573289902,1.0,3.0,4.0,6.0,18.0,2.507012582824183,307.0,4.175895765472313,0.0,1.0,2.0,7.0,22.0,4.772093999433211,307.0,8.745928338762216,1.0,4.0,7.0,13.0,28.0,5.913920216036505,307.0,34.71661237785016,16.0,30.0,36.0,40.0,42.0,6.2015034222084635,307.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,307,2023-05-31 14:28:24.752442880,2023-05-28 10:50:33,2023-05-29 13:25:34,2023-05-31 09:12:49,2023-06-02 21:03:17.500000,2023-06-03 21:35:37,
10016,Récollets - Square Villemin,307.0,1.8110749185667752,0.0,1.0,1.0,2.0,9.0,1.9310350989022431,307.0,2.2866449511400653,0.0,1.0,2.0,3.0,10.0,1.7384307064823625,307.0,4.09771986970684,0.0,2.0,4.0,5.0,15.0,3.1441762764225363,307.0,12.221498371335505,2.0,11.0,13.0,14.0,17.0,2.898578708929617,307.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,307,2023-05-31 14:28:24.605863168,2023-05-28 10:50:33,2023-05-29 13:25:34,2023-05-31 09:12:48,2023-06-02 21:03:16.500000,2023-06-03 21:35:37,
10017,Gare de l'Est - Fidélité,307.0,2.244299674267101,0.0,1.0,2.0,3.0,8.0,1.4626923921607238,307.0,3.026058631921824,0.0,1.0,3.0,5.0,10.0,2.6145592431166578,307.0,5.270358306188925,0.0,2.0,5.0,8.0,12.0,3.158431117833518,307.0,7.293159609120521,1.0,4.0,8.0,10.0,13.0,3.4393036017908263,307.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,307,2023-05-31 14:28:24.951140096,2023-05-28 10:50:33,2023-05-29 13:25:34,2023-05-31 09:12:49,2023-06-02 21:03:17.500000,2023-06-03 21:35:37,
