station_id,district_name,available_electric_bikes,available_mechanical_bikes,available_bikes,available_docks,status,last_update
21952,Meudon,8,24,32,10,1,2023-05-28 19:52:51
21951,Meudon,1,0,1,21,1,2023-05-28 19:52:51
21953,Meudon,5,0,5,14,1,2023-05-28 19:52:51
21954,Meudon,8,3,11,11,1,2023-05-28 19:52:51
21952,Meudon,6,25,31,11,1,2023-05-28 20:02:53
21951,Meudon,1,0,1,21,1,2023-05-28 20:02:53
21953,Meudon,3,0,3,16,1,2023-05-28 20:02:53
21954,Meudon,8,3,11,11,1,2023-05-28 20:02:53
21952,Meudon,6,25,31,11,1,2023-05-28 20:12:55
21951,Meudon,1,0,1,21,1,2023-05-28 20:12:55
21953,Meudon,3,0,3,16,1,2023-05-28 20:12:55
21954,Meudon,7,2,9,13,1,2023-05-28 20:12:55
21952,Meudon,6,25,31,11,1,2023-05-28 20:22:56
21951,Meudon,1,0,1,21,1,2023-05-28 20:22:56
21953,Meudon,3,0,3,16,1,2023-05-28 20:22:56
21954,Meudon,7,2,9,13,1,2023-05-28 20:22:56
21952,Meudon,7,25,32,10,1,2023-05-28 20:32:58
21951,Meudon,1,0,1,21,1,2023-05-28 20:32:58
21953,Meudon,3,0,3,16,1,2023-05-28 20:32:58
21954,Meudon,7,2,9,13,1,2023-05-28 20:32:58
21952,Meudon,7,25,32,10,1,2023-05-28 20:43:00
21951,Meudon,1,0,1,21,1,2023-05-28 20:43:00
21953,Meudon,3,0,3,16,1,2023-05-28 20:43:00
21954,Meudon,7,2,9,13,1,2023-05-28 20:43:00
21952,Meudon,8,24,32,10,1,2023-05-28 20:53:02
21951,Meudon,1,0,1,21,1,2023-05-28 20:53:02
21953,Meudon,3,0,3,16,1,2023-05-28 20:53:02
21954,Meudon,8,2,10,12,1,2023-05-28 20:53:02
21952,Meudon,7,24,31,11,1,2023-05-28 21:03:04
21951,Meudon,1,0,1,21,1,2023-05-28 21:03:04
21953,Meudon,3,0,3,16,1,2023-05-28 21:03:04
21954,Meudon,10,2,12,10,1,2023-05-28 21:03:04
21952,Meudon,4,9,13,26,1,2023-05-29 10:59:59
21951,Meudon,2,10,12,10,1,2023-05-29 10:59:59
21953,Meudon,6,0,6,14,1,2023-05-29 11:00:00
21954,Meudon,7,2,9,14,1,2023-05-29 11:00:00
21952,Meudon,5,9,14,26,1,2023-05-29 11:10:02
21951,Meudon,2,8,10,12,1,2023-05-29 11:10:03
21953,Meudon,6,0,6,14,1,2023-05-29 11:10:03
21954,Meudon,8,2,10,13,1,2023-05-29 11:10:03
21952,Meudon,5,10,15,25,1,2023-05-29 11:20:04
21951,Meudon,2,8,10,12,1,2023-05-29 11:20:04
21953,Meudon,6,0,6,14,1,2023-05-29 11:20:04
21954,Meudon,8,2,10,13,1,2023-05-29 11:20:04
21952,Meudon,5,10,15,25,1,2023-05-29 11:30:06
21951,Meudon,2,8,10,12,1,2023-05-29 11:30:06
21953,Meudon,6,0,6,14,1,2023-05-29 11:30:06
21954,Meudon,8,2,10,13,1,2023-05-29 11:30:06
21952,Meudon,4,10,14,26,1,2023-05-29 11:40:08
21951,Meudon,2,8,10,12,1,2023-05-29 11:40:08
21953,Meudon,6,0,6,14,1,2023-05-29 11:40:08
21954,Meudon,8,2,10,13,1,2023-05-29 11:40:08
21952,Meudon,4,10,14,26,1,2023-05-29 11:50:11
21951,Meudon,2,8,10,12,1,2023-05-29 11:50:11
21953,Meudon,5,0,5,15,1,2023-05-29 11:50:11
21954,Meudon,6,2,8,15,1,2023-05-29 11:50:11
21952,Meudon,4,10,14,26,1,2023-05-29 12:00:16
21951,Meudon,2,8,10,12,1,2023-05-29 12:00:16
21953,Meudon,5,0,5,15,1,2023-05-29 12:00:16
21954,Meudon,6,2,8,15,1,2023-05-29 12:00:16
21952,Meudon,4,10,14,26,1,2023-05-29 12:10:18
21951,Meudon,2,8,10,12,1,2023-05-29 12:10:18
21953,Meudon,4,0,4,16,1,2023-05-29 12:10:18
21954,Meudon,6,2,8,15,1,2023-05-29 12:10:19
21952,Meudon,5,10,15,25,1,2023-05-29 12:20:21
21951,Meudon,2,8,10,12,1,2023-05-29 12:20:21
21953,Meudon,4,0,4,16,1,2023-05-29 12:20:21
21954,Meudon,6,2,8,15,1,2023-05-29 12:20:21
21952,Meudon,5,11,16,24,1,2023-05-29 12:30:23
21951,Meudon,2,8,10,12,1,2023-05-29 12:30:23
21953,Meudon,6,0,6,14,1,2023-05-29 12:30:23
21954,Meudon,5,2,7,16,1,2023-05-29 12:30:23
21952,Meudon,5,11,16,24,1,2023-05-29 12:40:25
21951,Meudon,2,8,10,12,1,2023-05-29 12:40:25
21953,Meudon,6,0,6,14,1,2023-05-29 12:40:26
21954,Meudon,9,2,11,12,1,2023-05-29 12:40:26
21952,Meudon,5,11,16,24,1,2023-05-29 12:50:27
21951,Meudon,2,8,10,12,1,2023-05-29 12:50:27
21953,Meudon,6,0,6,14,1,2023-05-29 12:50:27
21954,Meudon,9,2,11,12,1,2023-05-29 12:50:27
21952,Meudon,5,11,16,24,1,2023-05-29 13:00:29
21951,Meudon,2,7,9,13,1,2023-05-29 13:00:29
21953,Meudon,6,0,6,14,1,2023-05-29 13:00:29
21954,Meudon,9,2,11,12,1,2023-05-29 13:00:29
21952,Meudon,5,11,16,24,1,2023-05-29 13:10:31
21951,Meudon,2,9,11,11,1,2023-05-29 13:10:31
21953,Meudon,6,0,6,14,1,2023-05-29 13:10:31
21954,Meudon,9,3,12,11,1,2023-05-29 13:10:31
21952,Meudon,5,11,16,24,1,2023-05-29 13:20:33
21951,Meudon,2,9,11,11,1,2023-05-29 13:20:33
21953,Meudon,6,0,6,14,1,2023-05-29 13:20:33
21954,Meudon,9,3,12,11,1,2023-05-29 13:20:33
21952,Meudon,5,11,16,24,1,2023-05-29 13:30:35
21951,Meudon,2,9,11,11,1,2023-05-29 13:30:35
21953,Meudon,6,0,6,14,1,2023-05-29 13:30:35
21954,Meudon,9,3,12,11,1,2023-05-29 13:30:35
21952,Meudon,4,11,15,25,1,2023-05-29 13:40:37
21951,Meudon,1,8,9,13,1,2023-05-29 13:40:37
21953,Meudon,6,0,6,14,1,2023-05-29 13:40:37
21954,Meudon,9,3,12,11,1,2023-05-29 13:40:37
21951,Meudon,1,8,9,13,1,2023-05-29 13:50:39
21952,Meudon,4,11,15,25,1,2023-05-29 13:50:39
21953,Meudon,5,0,5,15,1,2023-05-29 13:50:39
21954,Meudon,9,3,12,11,1,2023-05-29 13:50:39
21952,Meudon,3,11,14,26,1,2023-05-29 14:00:41
21951,Meudon,1,8,9,13,1,2023-05-29 14:00:41
21953,Meudon,5,0,5,15,1,2023-05-29 14:00:41
21954,Meudon,9,4,13,10,1,2023-05-29 14:00:41
21952,Meudon,1,11,12,28,1,2023-05-29 14:10:43
21951,Meudon,1,8,9,13,1,2023-05-29 14:10:43
21953,Meudon,4,0,4,16,1,2023-05-29 14:10:43
21954,Meudon,9,4,13,10,1,2023-05-29 14:10:43
21952,Meudon,0,11,11,29,1,2023-05-29 14:20:46
21951,Meudon,2,8,10,12,1,2023-05-29 14:20:46
21953,Meudon,4,0,4,16,1,2023-05-29 14:20:46
21954,Meudon,9,4,13,10,1,2023-05-29 14:20:46
21952,Meudon,0,12,12,28,1,2023-05-29 14:30:48
21951,Meudon,2,8,10,12,1,2023-05-29 14:30:48
21953,Meudon,3,0,3,17,1,2023-05-29 14:30:49
21954,Meudon,10,4,14,9,1,2023-05-29 14:30:49
21952,Meudon,0,11,11,29,1,2023-05-29 14:40:52
21951,Meudon,2,8,10,12,1,2023-05-29 14:40:52
21953,Meudon,2,0,2,18,1,2023-05-29 14:40:52
21954,Meudon,10,4,14,9,1,2023-05-29 14:40:53
21952,Meudon,0,10,10,30,1,2023-05-29 14:51:05
21951,Meudon,2,8,10,12,1,2023-05-29 14:51:05
21953,Meudon,2,0,2,18,1,2023-05-29 14:51:06
21954,Meudon,11,4,15,8,1,2023-05-29 14:51:06
21952,Meudon,1,9,10,30,1,2023-05-29 15:01:09
21951,Meudon,2,8,10,12,1,2023-05-29 15:01:10
21953,Meudon,2,0,2,18,1,2023-05-29 15:01:10
21954,Meudon,11,4,15,8,1,2023-05-29 15:01:10
21952,Meudon,1,8,9,31,1,2023-05-29 15:11:18
21951,Meudon,3,8,11,11,1,2023-05-29 15:11:18
21953,Meudon,2,0,2,18,1,2023-05-29 15:11:19
21954,Meudon,12,4,16,7,1,2023-05-29 15:11:19
21952,Meudon,1,8,9,31,1,2023-05-29 15:21:22
21951,Meudon,3,8,11,11,1,2023-05-29 15:21:22
21953,Meudon,2,0,2,18,1,2023-05-29 15:21:22
21954,Meudon,12,4,16,7,1,2023-05-29 15:21:23
21952,Meudon,2,5,7,33,1,2023-05-29 15:31:25
21951,Meudon,2,8,10,12,1,2023-05-29 15:31:25
21953,Meudon,2,0,2,18,1,2023-05-29 15:31:25
21954,Meudon,12,4,16,7,1,2023-05-29 15:31:26
21952,Meudon,1,6,7,33,1,2023-05-29 15:41:28
21951,Meudon,3,8,11,11,1,2023-05-29 15:41:28
21953,Meudon,2,0,2,18,1,2023-05-29 15:41:28
21954,Meudon,12,4,16,7,1,2023-05-29 15:41:29
21952,Meudon,2,7,9,31,1,2023-05-29 15:51:31
21951,Meudon,3,8,11,11,1,2023-05-29 15:51:31
21953,Meudon,1,0,1,19,1,2023-05-29 15:51:32
21954,Meudon,11,4,15,8,1,2023-05-29 15:51:32
21952,Meudon,2,6,8,32,1,2023-05-29 16:01:35
21951,Meudon,3,8,11,11,1,2023-05-29 16:01:35
21953,Meudon,1,0,1,19,1,2023-05-29 16:01:35
21954,Meudon,11,4,15,8,1,2023-05-29 16:01:35
21952,Meudon,2,6,8,32,1,2023-05-29 16:11:38
21951,Meudon,3,8,11,11,1,2023-05-29 16:11:38
21953,Meudon,1,0,1,19,1,2023-05-29 16:11:38
21954,Meudon,11,4,15,8,1,2023-05-29 16:11:39
21952,Meudon,2,6,8,32,1,2023-05-29 16:21:42
21951,Meudon,3,8,11,11,1,2023-05-29 16:21:42
21953,Meudon,1,0,1,19,1,2023-05-29 16:21:42
21954,Meudon,11,4,15,8,1,2023-05-29 16:21:42
21952,Meudon,2,6,8,32,1,2023-05-29 16:31:48
21951,Meudon,3,8,11,11,1,2023-05-29 16:31:48
21953,Meudon,1,0,1,19,1,2023-05-29 16:31:49
21954,Meudon,11,4,15,8,1,2023-05-29 16:31:49
21952,Meudon,2,6,8,32,1,2023-05-29 16:41:52
21951,Meudon,3,8,11,11,1,2023-05-29 16:41:52
21953,Meudon,1,0,1,19,1,2023-05-29 16:41:52
21954,Meudon,11,4,15,8,1,2023-05-29 16:41:53
21952,Meudon,2,6,8,32,1,2023-05-29 16:51:55
21951,Meudon,3,8,11,11,1,2023-05-29 16:51:55
21953,Meudon,1,0,1,19,1,2023-05-29 16:51:56
21954,Meudon,11,4,15,8,1,2023-05-29 16:51:56
21952,Meudon,2,6,8,32,1,2023-05-29 17:01:59
21951,Meudon,3,8,11,11,1,2023-05-29 17:01:59
21953,Meudon,1,0,1,19,1,2023-05-29 17:01:59
21954,Meudon,11,4,15,8,1,2023-05-29 17:02:00
21952,Meudon,2,6,8,32,1,2023-05-29 17:12:04
21951,Meudon,3,8,11,11,1,2023-05-29 17:12:04
21953,Meudon,1,0,1,19,1,2023-05-29 17:12:05
21954,Meudon,11,4,15,8,1,2023-05-29 17:12:05
21952,Meudon,2,6,8,32,1,2023-05-29 17:22:09
21951,Meudon,3,8,11,11,1,2023-05-29 17:22:09
21953,Meudon,1,0,1,19,1,2023-05-29 17:22:09
21954,Meudon,11,4,15,8,1,2023-05-29 17:22:10
21952,Meudon,2,6,8,32,1,2023-05-29 17:32:12
21951,Meudon,3,8,11,11,1,2023-05-29 17:32:12
21953,Meudon,1,0,1,19,1,2023-05-29 17:32:13
21954,Meudon,11,4,15,8,1,2023-05-29 17:32:13
21952,Meudon,2,6,8,32,1,2023-05-29 17:42:16
21951,Meudon,3,8,11,11,1,2023-05-29 17:42:16
21953,Meudon,1,0,1,19,1,2023-05-29 17:42:17
21954,Meudon,11,4,15,8,1,2023-05-29 17:42:17
21952,Meudon,2,6,8,32,1,2023-05-29 17:52:20
21951,Meudon,3,8,11,11,1,2023-05-29 17:52:20
21953,Meudon,1,0,1,19,1,2023-05-29 17:52:21
21954,Meudon,11,4,15,8,1,2023-05-29 17:52:21
21952,Meudon,2,6,8,32,1,2023-05-29 18:02:23
21951,Meudon,3,8,11,11,1,2023-05-29 18:02:23
21953,Meudon,1,0,1,19,1,2023-05-29 18:02:23
21954,Meudon,11,4,15,8,1,2023-05-29 18:02:23
21952,Meudon,2,6,8,32,1,2023-05-29 18:12:25
21951,Meudon,3,8,11,11,1,2023-05-29 18:12:25
21953,Meudon,1,0,1,19,1,2023-05-29 18:12:25
21954,Meudon,11,4,15,8,1,2023-05-29 18:12:25
21952,Meudon,2,6,8,32,1,2023-05-29 18:22:27
21951,Meudon,3,8,11,11,1,2023-05-29 18:22:27
21953,Meudon,1,0,1,19,1,2023-05-29 18:22:28
21954,Meudon,11,4,15,8,1,2023-05-29 18:22:28
21952,Meudon,2,6,8,32,1,2023-05-29 18:32:30
21951,Meudon,3,8,11,11,1,2023-05-29 18:32:31
21953,Meudon,1,0,1,19,1,2023-05-29 18:32:31
21954,Meudon,11,4,15,8,1,2023-05-29 18:32:31
21952,Meudon,2,6,8,32,1,2023-05-29 18:42:33
21951,Meudon,3,8,11,11,1,2023-05-29 18:42:33
21953,Meudon,1,0,1,19,1,2023-05-29 18:42:33
21954,Meudon,11,4,15,8,1,2023-05-29 18:42:33
21952,Meudon,2,6,8,32,1,2023-05-29 18:52:35
21951,Meudon,3,8,11,11,1,2023-05-29 18:52:35
21953,Meudon,1,0,1,19,1,2023-05-29 18:52:35
21954,Meudon,11,4,15,8,1,2023-05-29 18:52:35
21952,Meudon,2,6,8,32,1,2023-05-29 19:02:37
21951,Meudon,3,8,11,11,1,2023-05-29 19:02:37
21953,Meudon,1,0,1,19,1,2023-05-29 19:02:37
21954,Meudon,11,4,15,8,1,2023-05-29 19:02:37
21952,Meudon,2,6,8,32,1,2023-05-29 19:12:39
21951,Meudon,3,8,11,11,1,2023-05-29 19:12:39
21953,Meudon,1,0,1,19,1,2023-05-29 19:12:39
21954,Meudon,11,4,15,8,1,2023-05-29 19:12:39
21952,Meudon,2,6,8,32,1,2023-05-29 19:22:41
21951,Meudon,3,8,11,11,1,2023-05-29 19:22:41
21953,Meudon,1,0,1,19,1,2023-05-29 19:22:41
21954,Meudon,11,4,15,8,1,2023-05-29 19:22:42
21952,Meudon,2,6,8,32,1,2023-05-29 19:32:44
21951,Meudon,3,8,11,11,1,2023-05-29 19:32:44
21953,Meudon,1,0,1,19,1,2023-05-29 19:32:44
21954,Meudon,11,4,15,8,1,2023-05-29 19:32:44
21952,Meudon,2,6,8,32,1,2023-05-29 19:42:46
21951,Meudon,3,8,11,11,1,2023-05-29 19:42:46
21953,Meudon,1,0,1,19,1,2023-05-29 19:42:46
21954,Meudon,11,4,15,8,1,2023-05-29 19:42:46
21952,Meudon,2,6,8,32,1,2023-05-29 19:52:48
21951,Meudon,3,8,11,11,1,2023-05-29 19:52:48
21953,Meudon,1,0,1,19,1,2023-05-29 19:52:48
21954,Meudon,11,4,15,8,1,2023-05-29 19:52:48
21952,Meudon,2,6,8,32,1,2023-05-29 20:02:50
21951,Meudon,3,8,11,11,1,2023-05-29 20:02:50
21953,Meudon,1,0,1,19,1,2023-05-29 20:02:50
21954,Meudon,11,4,15,8,1,2023-05-29 20:02:50
21952,Meudon,2,6,8,32,1,2023-05-29 20:12:52
21951,Meudon,3,8,11,11,1,2023-05-29 20:12:52
21953,Meudon,1,0,1,19,1,2023-05-29 20:12:53
21954,Meudon,11,4,15,8,1,2023-05-29 20:12:53
21952,Meudon,2,6,8,32,1,2023-05-29 20:22:55
21951,Meudon,3,8,11,11,1,2023-05-29 20:22:55
21953,Meudon,1,0,1,19,1,2023-05-29 20:22:55
21954,Meudon,11,4,15,8,1,2023-05-29 20:22:55
21952,Meudon,2,6,8,32,1,2023-05-29 20:32:57
21951,Meudon,3,8,11,11,1,2023-05-29 20:32:57
21953,Meudon,1,0,1,19,1,2023-05-29 20:32:57
21954,Meudon,11,4,15,8,1,2023-05-29 20:32:57
21952,Meudon,2,6,8,32,1,2023-05-29 20:42:59
21951,Meudon,3,8,11,11,1,2023-05-29 20:42:59
21953,Meudon,1,0,1,19,1,2023-05-29 20:42:59
21954,Meudon,11,4,15,8,1,2023-05-29 20:42:59
21952,Meudon,2,6,8,32,1,2023-05-29 20:53:01
21951,Meudon,3,8,11,11,1,2023-05-29 20:53:01
21953,Meudon,1,0,1,19,1,2023-05-29 20:53:01
21954,Meudon,11,4,15,8,1,2023-05-29 20:53:01
21952,Meudon,2,6,8,32,1,2023-05-29 21:03:02
21951,Meudon,3,8,11,11,1,2023-05-29 21:03:02
21953,Meudon,1,0,1,19,1,2023-05-29 21:03:03
21954,Meudon,11,4,15,8,1,2023-05-29 21:03:03
21952,Meudon,1,0,1,41,1,2023-05-30 12:02:31
21951,Meudon,1,5,6,16,1,2023-05-30 12:02:31
21953,Meudon,0,0,0,20,1,2023-05-30 12:02:32
21954,Meudon,3,0,3,20,1,2023-05-30 12:02:32
21952,Meudon,0,0,0,42,1,2023-05-30 12:11:31
21951,Meudon,1,5,6,16,1,2023-05-30 12:11:31
21953,Meudon,0,0,0,20,1,2023-05-30 12:11:31
21954,Meudon,3,0,3,20,1,2023-05-30 12:11:31
21952,Meudon,0,0,0,42,1,2023-05-30 12:21:35
21951,Meudon,1,5,6,16,1,2023-05-30 12:21:35
21953,Meudon,0,0,0,20,1,2023-05-30 12:21:36
21954,Meudon,3,0,3,20,1,2023-05-30 12:21:36
21952,Meudon,0,0,0,42,1,2023-05-30 12:31:38
21951,Meudon,1,5,6,16,1,2023-05-30 12:31:38
21953,Meudon,0,0,0,20,1,2023-05-30 12:31:38
21954,Meudon,2,0,2,21,1,2023-05-30 12:31:38
21952,Meudon,2,0,2,40,1,2023-05-30 12:41:42
21951,Meudon,1,4,5,17,1,2023-05-30 12:41:42
21953,Meudon,0,0,0,20,1,2023-05-30 12:41:42
21954,Meudon,2,0,2,21,1,2023-05-30 12:41:43
21952,Meudon,2,0,2,40,1,2023-05-30 12:51:45
21951,Meudon,1,4,5,17,1,2023-05-30 12:51:45
21953,Meudon,0,0,0,20,1,2023-05-30 12:51:46
21954,Meudon,1,1,2,21,1,2023-05-30 12:51:46
21952,Meudon,1,1,2,40,1,2023-05-30 15:01:22
21951,Meudon,2,4,6,16,1,2023-05-30 15:01:22
21953,Meudon,1,0,1,19,1,2023-05-30 15:01:22
21954,Meudon,2,0,2,21,1,2023-05-30 15:01:22
21952,Meudon,1,1,2,40,1,2023-05-30 15:11:32
21951,Meudon,2,4,6,16,1,2023-05-30 15:11:32
21953,Meudon,1,0,1,19,1,2023-05-30 15:11:32
21954,Meudon,2,0,2,21,1,2023-05-30 15:11:33
21952,Meudon,2,1,3,39,1,2023-05-30 15:21:35
21951,Meudon,2,4,6,16,1,2023-05-30 15:21:35
21953,Meudon,1,0,1,19,1,2023-05-30 15:21:35
21954,Meudon,2,0,2,21,1,2023-05-30 15:21:35
21952,Meudon,3,1,4,38,1,2023-05-30 15:31:37
21951,Meudon,3,4,7,15,1,2023-05-30 15:31:37
21953,Meudon,1,0,1,19,1,2023-05-30 15:31:38
21954,Meudon,2,0,2,21,1,2023-05-30 15:31:38
21952,Meudon,3,1,4,38,1,2023-05-30 15:41:40
21951,Meudon,3,4,7,15,1,2023-05-30 15:41:40
21953,Meudon,0,0,0,20,1,2023-05-30 15:41:40
21954,Meudon,1,0,1,22,1,2023-05-30 15:41:40
21952,Meudon,2,1,3,39,1,2023-05-30 15:51:41
21951,Meudon,1,4,5,17,1,2023-05-30 15:51:41
21953,Meudon,0,0,0,20,1,2023-05-30 15:51:41
21954,Meudon,1,0,1,22,1,2023-05-30 15:51:42
21952,Meudon,4,1,5,37,1,2023-05-30 16:01:43
21951,Meudon,1,4,5,17,1,2023-05-30 16:01:43
21953,Meudon,0,0,0,20,1,2023-05-30 16:01:43
21954,Meudon,1,0,1,22,1,2023-05-30 16:01:43
21952,Meudon,4,0,4,38,1,2023-05-30 16:11:44
21951,Meudon,1,4,5,17,1,2023-05-30 16:11:44
21953,Meudon,0,0,0,20,1,2023-05-30 16:11:44
21954,Meudon,1,0,1,22,1,2023-05-30 16:11:45
21952,Meudon,4,0,4,38,1,2023-05-30 16:21:46
21951,Meudon,1,4,5,17,1,2023-05-30 16:21:46
21953,Meudon,0,0,0,20,1,2023-05-30 16:21:46
21954,Meudon,1,0,1,22,1,2023-05-30 16:21:46
21952,Meudon,5,0,5,37,1,2023-05-30 16:31:48
21951,Meudon,1,4,5,17,1,2023-05-30 16:31:48
21953,Meudon,0,0,0,20,1,2023-05-30 16:31:49
21954,Meudon,1,0,1,22,1,2023-05-30 16:31:49
21952,Meudon,6,0,6,36,1,2023-05-30 16:41:51
21951,Meudon,1,4,5,17,1,2023-05-30 16:41:51
21953,Meudon,0,0,0,20,1,2023-05-30 16:41:51
21954,Meudon,1,0,1,22,1,2023-05-30 16:41:52
21952,Meudon,5,1,6,36,1,2023-05-30 16:51:55
21951,Meudon,1,4,5,17,1,2023-05-30 16:51:55
21953,Meudon,0,0,0,20,1,2023-05-30 16:51:55
21954,Meudon,1,0,1,22,1,2023-05-30 16:51:56
21952,Meudon,4,0,4,38,1,2023-05-30 17:01:58
21951,Meudon,1,4,5,17,1,2023-05-30 17:01:58
21953,Meudon,0,0,0,20,1,2023-05-30 17:01:58
21954,Meudon,1,0,1,22,1,2023-05-30 17:01:59
21952,Meudon,3,0,3,39,1,2023-05-30 17:12:01
21951,Meudon,1,4,5,17,1,2023-05-30 17:12:01
21953,Meudon,0,0,0,20,1,2023-05-30 17:12:02
21954,Meudon,1,0,1,22,1,2023-05-30 17:12:02
21952,Meudon,3,0,3,39,1,2023-05-30 17:22:05
21951,Meudon,1,4,5,17,1,2023-05-30 17:22:05
21953,Meudon,0,0,0,20,1,2023-05-30 17:22:05
21954,Meudon,1,0,1,22,1,2023-05-30 17:22:06
21952,Meudon,0,1,1,41,1,2023-05-30 17:32:08
21951,Meudon,1,4,5,17,1,2023-05-30 17:32:08
21953,Meudon,0,0,0,20,1,2023-05-30 17:32:09
21954,Meudon,2,0,2,21,1,2023-05-30 17:32:09
21952,Meudon,0,1,1,41,1,2023-05-30 17:42:12
21951,Meudon,1,3,4,18,1,2023-05-30 17:42:12
21953,Meudon,0,0,0,20,1,2023-05-30 17:42:13
21954,Meudon,2,0,2,21,1,2023-05-30 17:42:13
21952,Meudon,3,1,4,38,1,2023-05-30 17:52:15
21951,Meudon,1,3,4,18,1,2023-05-30 17:52:16
21953,Meudon,1,0,1,19,1,2023-05-30 17:52:16
21954,Meudon,2,0,2,21,1,2023-05-30 17:52:16
21952,Meudon,4,1,5,37,1,2023-05-30 18:02:18
21951,Meudon,1,2,3,19,1,2023-05-30 18:02:18
21953,Meudon,1,0,1,19,1,2023-05-30 18:02:19
21954,Meudon,2,0,2,21,1,2023-05-30 18:02:19
21952,Meudon,3,0,3,39,1,2023-05-30 18:12:21
21951,Meudon,1,2,3,19,1,2023-05-30 18:12:21
21953,Meudon,1,0,1,19,1,2023-05-30 18:12:22
21954,Meudon,1,0,1,22,1,2023-05-30 18:12:22
21952,Meudon,4,0,4,38,1,2023-05-30 18:22:24
21951,Meudon,1,2,3,19,1,2023-05-30 18:22:24
21953,Meudon,2,0,2,18,1,2023-05-30 18:22:25
21954,Meudon,0,0,0,23,1,2023-05-30 18:22:25
21952,Meudon,2,1,3,39,1,2023-05-30 18:32:27
21951,Meudon,1,2,3,19,1,2023-05-30 18:32:27
21953,Meudon,2,0,2,18,1,2023-05-30 18:32:27
21954,Meudon,1,0,1,22,1,2023-05-30 18:32:28
21952,Meudon,2,2,4,38,1,2023-05-30 18:42:30
21951,Meudon,1,1,2,20,1,2023-05-30 18:42:30
21953,Meudon,2,0,2,18,1,2023-05-30 18:42:30
21954,Meudon,1,0,1,22,1,2023-05-30 18:42:30
21952,Meudon,1,3,4,38,1,2023-05-30 18:52:33
21951,Meudon,1,1,2,20,1,2023-05-30 18:52:33
21953,Meudon,0,0,0,20,1,2023-05-30 18:52:34
21954,Meudon,3,0,3,20,1,2023-05-30 18:52:34
21952,Meudon,1,5,6,36,1,2023-05-31 09:12:49
21951,Meudon,2,1,3,19,1,2023-05-31 09:12:49
21953,Meudon,1,1,2,18,1,2023-05-31 09:12:49
21954,Meudon,1,1,2,20,1,2023-05-31 09:12:49
21952,Meudon,1,4,5,37,1,2023-05-31 09:22:51
21951,Meudon,3,1,4,18,1,2023-05-31 09:22:51
21953,Meudon,2,1,3,17,1,2023-05-31 09:22:51
